어린이집명,시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자
노블아일랜드어린이집,경기도,고양시일산서구,가정,20,2,"경기도 고양시 일산서구 일현로 122 804동 102호(탄현동, 탄현마을동성8단지아파트)",070-7553-4227,,4,0,0,N,,2019-04-23
노블킨더어린이집,경기도,고양시일산서구,가정,20,5,"경기도 고양시 일산서구 일현로 140 109동 102호(탄현동, 큰마을현대대림1단지아파트)",070-8793-4227,,4,0,0,N,,2019-04-23
24시주안어린이집,경기도,고양시덕양구,가정,20,1,"경기도 고양시 덕양구 화중로 164 561동 101호(화정동, 은빛마을5단지아파트)",031-812-7171,031-812-7171,3,0,0,N,http://blog.naver.com/happy8127171.do,2019-04-23
ABC키즈스쿨어린이집,경기도,고양시일산서구,가정,20,4,"경기도 고양시 일산서구 원일로21번길 22 106동 103호(일산동, 일신건영휴먼빌1차아파트)",031-813-6003,,4,0,4,N,,2019-04-23
HAPPY KID'S CLUB어린이집,경기도,고양시일산동구,가정,20,5,경기도 고양시 일산동구 산두로201번길 5-15,031-911-6838,031-924-6839,2,0,5,Y,다음 검색창 해피키즈챠일드클럽,2019-04-23
꿈빛어린이집,경기도,고양시일산동구,가정,20,4,"경기도 고양시 일산동구 은행마을로 16 109동 104호(풍동, 은행마을1단지)",031-932-7724,,3,0,4,N,,2019-04-23
꿈사랑 어린이집,경기도,고양시일산동구,민간,28,8,경기도 고양시 일산동구 중산로 260,031-975-4399,031-976-8597,3,0,0,Y,,2019-04-23
꿈의요정어린이집,경기도,고양시덕양구,가정,20,10,"경기도 고양시 덕양구 푸른마을로120번길 34 1001동 103호(고양동, 풍림아파트)",031-818-8080,,4,0,4,Y,,2019-04-23
꿈의정원어린이집,경기도,고양시덕양구,민간,31,7,"경기도 고양시 덕양구 토당로32번길 11 (토당동 , 능곡대림아파트)",031-978-8181,,5,0,5,Y,,2019-04-23
꿈이크는어린이집,경기도,고양시덕양구,가정,20,6,"경기도 고양시 덕양구 푸른마을로 14 101동102호(고양동, 푸른마을1단지아파트)",031-969-5242,031-969-5242,4,0,4,N,,2019-04-23
꿈있는어린이집,경기도,고양시일산서구,가정,20,3,"경기도 고양시 일산서구 가좌4로 13 104동 1층(가좌동, 가좌마을양우1단지아파트)",031-813-5033,031-813-5033,4,0,0,N,,2019-04-23
꿈자람어린이집,경기도,고양시일산동구,가정,17,3,"경기도 고양시 일산동구 은행마을로 62 205동 101호(식사동, 은행마을동문2단지아파트)",031-969-3335,,3,0,0,N,,2019-04-23
꿈하은어린이집,경기도,고양시덕양구,가정,19,3,"경기도 고양시 덕양구 고양대로1384번길 53 302동 104호(성사동, 신원당3단지아파트)",031-962-0038,,4,0,0,N,,2019-04-23
나래빅스맘어린이집,경기도,고양시일산서구,가정,20,4,"경기도 고양시 일산서구 가좌2로 20 613동 104호(가좌동, 가좌마을청원벽산블루밍6단지아파트)",031-914-9191,031-914-9191,4,0,0,N,,2019-04-23
나래사랑어린이집,경기도,고양시일산서구,가정,19,2,"경기도 고양시 일산서구 일청로 45 305동 105호(일산동, 일산현대홈타운3차아파트)",031-913-7942,,4,1,0,N,,2019-04-23
나래어린이집,경기도,고양시일산서구,민간,27,4,경기도 고양시 일산서구 일청로 45 현대홈타운3차 관리동내,031-923-7942,,3,0,0,N,,2019-04-23
나무를키우는햇살어린이집,경기도,고양시덕양구,협동,39,6,경기도 고양시 덕양구 대주로 125-9,031-967-5995,031-964-2665,6,0,0,N,,2019-04-23
나무아트어린이집,경기도,고양시일산서구,민간,46,8,"경기도 고양시 일산서구 장자길 120 685,686(덕이동)",031-912-2200,031-912-2200,3,1,4,Y,,2019-04-23
시립행신그린어린이집,경기도,고양시덕양구,국공립,150,25,경기도 고양시 덕양구 용현로 47 (행신동),031-978-5333,031-978-5339,9,1,32,N,,2019-04-23
식사자이블루어린이집,경기도,고양시일산동구,가정,20,6,"경기도 고양시 일산동구 위시티4로 45 402동 104호(식사동, 위시티일산자이4단지아파트)",031-967-9971,,3,0,0,N,,2019-04-23
식사푸른숲어린이집,경기도,고양시일산동구,민간,83,10,경기도 고양시 일산동구 위시티3로 77,031-965-2121,031-965-2121,5,2,12,Y,,2019-04-23
신임마누엘어린이집,경기도,고양시덕양구,민간,229,31,경기도 고양시 덕양구 혜음로13번길 34 (고양동),031-969-8704,031-969-8772,12,5,19,Y,,2019-04-23
신한키즈 일산어린이집,경기도,고양시일산동구,직장,64,11,경기도 고양시 일산동구 중앙로 1311,031-906-5170,,4,1,0,N,,2019-04-23
써니맘어린이집,경기도,고양시일산서구,가정,17,4,"경기도 고양시 일산서구 강선로 141 1606동 101호(일산동, 후곡마을16단지아파트)",070-8231-8528,,4,0,0,N,,2019-04-23
쑥쑥어린이집,경기도,고양시덕양구,가정,20,7,"경기도 고양시 덕양구 중앙로558번길 57 1824동 103호(행신동, 햇빛마을주공18단지아파트)",031-938-8556,,4,0,0,Y,,2019-04-23
아기사랑어린이집,경기도,고양시일산서구,가정,18,5,"경기도 고양시 일산서구 강선로 30 1509동 102호(주엽동, 강선마을보성15단지아파트)",031-811-2116,031-811-2116,4,0,4,N,http://cafe.naver.com/baby01090603217,2019-04-23
키즈하모니어린이집,경기도,고양시일산동구,가정,20,6,경기도 고양시 일산동구 숲속마을2로 78 (풍동),031-907-7122,031-907-7121,2,0,0,N,,2019-04-23
대화꼬마별어린이집,경기도,고양시일산서구,가정,20,6,경기도 고양시 일산서구 성저로70번길 9-8 (대화동),031-916-4560,031-916-4568,4,0,0,Y,************@naver.com,2019-04-23
대화동뽀로롱어린이집,경기도,고양시일산서구,가정,20,7,경기도 고양시 일산서구 성저로46번길 46,031-919-2161,031-919-2166,4,0,0,Y,,2019-04-23
대화아람어린이집,경기도,고양시일산서구,민간,121,20,경기도 고양시 일산서구 대화로156번길 36,031-915-0585,031-924-6484,12,2,14,Y,http:cafe.naver.com/aramchild0502,2019-04-23
대화예솔어린이집,경기도,고양시일산서구,민간,27,8,"경기도 고양시 일산서구 대화2로 137 (대화동, 대화마을6단지내)",031-924-1887,031-924-1886,5,0,0,Y,,2019-04-23
대화피터팬어린이집,경기도,고양시일산서구,가정,20,4,경기도 고양시 일산서구 일산로803번길 39,031-922-5552,031-922-5552,4,0,0,N,,2019-04-23
더사랑어린이집,경기도,고양시덕양구,가정,20,5,"경기도 고양시 덕양구 소원로 47 609동 103호(행신동, 무원마을6단지아파트)",031-817-7377,031-979-7377,4,0,0,N,,2019-04-23
더채움어린이집,경기도,고양시덕양구,민간,78,15,경기도 고양시 덕양구 동세로 125 삼송마을15단지 계룡리슈빌,031-968-7959,,7,1,11,Y,,2019-04-23
덕이아이키즈어린이집,경기도,고양시일산서구,민간,81,11,경기도 고양시 일산서구 하이파크3로 62 덕이동 아이파크5단지내,031-922-3002,,6,1,2,Y,,2019-04-23
도깨비어린이집,경기도,고양시덕양구,협동,20,5,경기도 고양시 덕양구 고양대로1730번길 77-62 (원흥동),031-969-3412,,4,0,4,N,http://dokkaebi.gongdong.or.kr,2019-04-23
키즈마을어린이집,경기도,고양시일산동구,가정,20,5,"경기도 고양시 일산동구 은행마을로 16 108동 105호(풍동, 은행마을1단지아파트)",031-819-0079,031-816-0079,3,0,0,N,*********@hanmail.net,2019-04-23
키즈봉봉어린이집,경기도,고양시일산서구,가정,20,6,"경기도 고양시 일산서구 탄현로 136 106동 102호(탄현동,일산에듀포레푸르지오)",031-925-8440,,4,1,0,N,,2019-04-23
키즈브레인어린이집,경기도,고양시덕양구,가정,19,6,"경기도 고양시 덕양구 능곡로 30-12 102동 104호(토당동, 현대홈타운1차아파트)",031-814-0520,031-811-3244,4,0,0,N,,2019-04-23
키즈빌리지어린이집,경기도,고양시덕양구,가정,20,7,"경기도 고양시 덕양구 세솔로 105 1705동 101호(삼송동,삼송마을동원로얄듀크)",02-6339-7998,02-6339-7998,3,0,0,N,http://blog.daum.net/dongwonkidsvillage/?t__nil_login=myblog,2019-04-23
키즈아트어린이집,경기도,고양시일산서구,민간,106,17,경기도 고양시 일산서구 하이파크로 113,031-923-5566,031-923-5567,9,1,0,Y,,2019-04-23
풍림어린이집,경기도,고양시덕양구,가정,20,4,"경기도 고양시 덕양구 지도로103번길 61 201동 103호(토당동, 풍림아이원아파트)",031-973-2812,031-973-2812,4,0,0,N,,2019-04-23
피앤피어린이집,경기도,고양시덕양구,가정,20,5,"경기도 고양시 덕양구 능곡로13번길 16 204동 104호(토당동, 능곡현대홈타운2차아파트)",031-938-5953,031-938-5953,3,0,0,N,,2019-04-23
피엘어린이집,경기도,고양시일산서구,가정,20,3,"경기도 고양시 일산서구 후곡로 36 401동 104호(일산동, 후곡마을금호4단지아파트)",031-917-5955,031-917-5955,4,0,0,N,,2019-04-23
하나린어린이집,경기도,고양시덕양구,가정,15,8,"경기도 고양시 덕양구 충장로 118-30 223동 102호(행신동, 샘터마을2단지)",031-938-0700,,3,0,0,N,,2019-04-23
하늘꿈나무어린이집,경기도,고양시일산동구,가정,20,8,"경기도 고양시 일산동구 하늘마을1로 23 509동 106호(중산동, 하늘마을주공휴먼시아5단지아파트)",031-818-9150,031-818-9150,3,0,4,N,***********@hanmail.net,2019-04-23
하늘별어린이집,경기도,고양시덕양구,가정,20,10,"경기도 고양시 덕양구 충경로 156 502동 101호(행신동, 서정마을5단지아파트)",031-970-8842,070-7782-8842,3,1,0,Y,club.cyworld.com/skystarkids,2019-04-23
하늘샘어린이집,경기도,고양시일산서구,가정,19,5,"경기도 고양시 일산서구 원일로21번길 22 103동 101호(일산동, 일산휴먼빌아파트)",031-811-1180,031-811-1180,4,0,1,N,,2019-04-23
탄현동신어린이집,경기도,고양시일산서구,민간,26,6,"경기도 고양시 일산서구 산현로17번길 38 탄현마을11단지 관리동(탄현동, 탄현마을11단지아파트)",031-922-7959,031-925-7959,4,0,4,Y,,2019-04-23
탄현우리어린이집,경기도,고양시일산서구,민간,191,24,경기도 고양시 일산서구 홀트로 62 (탄현동),031-914-3339,031-914-3383,17,2,19,Y,http;//cafe.naver.com/thwoori,2019-04-23
탄현해오름어린이집,경기도,고양시일산서구,가정,19,8,"경기도 고양시 일산서구 현중로 62 607동 101호(탄현동, 탄현마을한신6단지아파트)",031-921-0555,050-4149-4196,3,0,5,N,**********@naver.com,2019-04-23
태양이키우는아이어린이집,경기도,고양시일산동구,가정,18,5,"경기도 고양시 일산동구 강촌로 190 606동 103호(백석동, 백송마을벽산대우6단지아파트)",070-4098-3942,070-4098-3942,3,0,0,N,,2019-04-23
태영아이 어린이집,경기도,고양시일산서구,가정,19,6,"경기도 고양시 일산서구 탄중로101번길 36 104동 101호(덕이동, 태영아파트)",070-8727-0313,031-811-0901,4,0,4,Y,,2019-04-23
도담영아어린이집,경기도,고양시덕양구,가정,16,3,"경기도 고양시 덕양구 화신로 105 2315동 102호(행신동, 햇빛마을23단지아파트)",031-811-2146,031-811-2146,4,0,0,N,,2019-04-23
도래울어린이집,경기도,고양시덕양구,민간,44,9,경기도 고양시 덕양구 도래울3로 33 원흥도래을마을4단지내,031-966-9656,050-4219-9177,5,0,6,N,,2019-04-23
도래울영아어린이집,경기도,고양시덕양구,가정,20,9,"경기도 고양시 덕양구 도래울로 16 616동 101호(도내동,원흥도래울마을)",031-818-2260,031-818-2260,3,0,4,N,,2019-04-23
동구꼬마숲어린이집,경기도,고양시일산동구,가정,19,6,"경기도 고양시 일산동구 노루목로 99 501동 103호(장항동, 호수마을청구5단지아파트)",031-932-4000,031-932-4000,3,0,1,N,www.littleforest.co.kr/home/donggu,2019-04-23
동국대일산병원직장어린이집,경기도,고양시일산동구,직장,105,16,경기도 고양시 일산동구 무궁화로 260,031-903-6111,,6,2,0,Y,,2019-04-23
동문숲 어린이집,경기도,고양시덕양구,가정,12,0,"경기도 고양시 덕양구 고양대로1384번길 19-23 101동 103호(성사동, 신원당마을동문1단지아파트)",031-969-9004,031-969-9005,3,0,0,N,,2019-04-23
동문아름다운어린이집,경기도,고양시일산서구,가정,20,6,"경기도 고양시 일산서구 장자길118번길 27 303동 101호(덕이동,동문3차아파트)",031-915-4198,,4,0,0,Y,,2019-04-23
동문어린이집,경기도,고양시일산서구,민간,83,9,경기도 고양시 일산서구 산현로 28 동문1차 단지내 동문어린이집,031-918-8902,031-817-8902,7,1,11,Y,,2019-04-23
동신어린이집,경기도,고양시일산서구,가정,18,4,"경기도 고양시 일산서구 대산로 53 410동 102호(주엽동, 강선마을동신4단지아파트)",031-918-6966,031-918-6967,4,0,1,N,http:// cafe.naver.com/9186966,2019-04-23
동양아트어린이집,경기도,고양시일산서구,민간,34,6,경기도 고양시 일산서구 고양대로 631 108동 104호(동양메이져아파트),031-924-8552,031-924-8553,3,0,2,Y,,2019-04-23
동일미소어린이집,경기도,고양시덕양구,가정,20,3,"경기도 고양시 덕양구 도래울1로 80 711동 103호(도내동, 원흥7단지 고양원흥동일스위트)",031-909-0001,031-968-0002,4,0,0,N,,2019-04-23
동화나라유아교실놀이방어린이집,경기도,고양시일산서구,가정,14,2,"경기도 고양시 일산서구 대화1로 61 502동 105호(대화동, 대화마을5단지아파트)",000-0000-0000,,2,0,1,N,,2019-04-23
동화어린이집,경기도,고양시일산서구,민간,57,10,경기도 고양시 일산서구 주엽로 161 문촌마을 8단지내,031-915-4697,031-915-4698,6,1,8,Y,www.donghwa.or.kr,2019-04-23
두산어린이집,경기도,고양시일산동구,민간,138,16,경기도 고양시 일산동구 중산로 269 1단지내 두산어린이집,031-976-2201,,7,1,16,Y,,2019-04-23
하늘숲어린이집,경기도,고양시덕양구,가정,13,2,"경기도 고양시 덕양구 충장로 118-30 207동 101호(행신동, 샘터마을2단지아파트)",031-815-5226,031-815-5221,4,0,0,N,,2019-04-23
하늘숲에벤에셀어린이집,경기도,고양시덕양구,민간,154,22,경기도 고양시 덕양구 삼송로139번길 43-4,02-385-7880,02-385-7881,8,5,16,Y,http://www.skychild.co.kr,2019-04-23
하늘이어린이집,경기도,고양시일산동구,가정,19,5,"경기도 고양시 일산동구 하늘마을로 94 209동 105호(중산동, 하늘마을2단지)",031-977-5355,050-4150-4298,3,0,0,N,http://m.blog.naver.com/ilsanskylove?suggestAddBuddy=true,2019-04-23
초록마을키즈어린이집,경기도,고양시일산동구,가정,20,3,경기도 고양시 일산동구 대산로11번길 94-10 (정발산동),031-915-4568,,2,0,1,Y,,2019-04-23
초록벌어린이집,경기도,고양시일산서구,가정,20,6,"경기도 고양시 일산서구 가좌3로 43 209동 105호(가좌동, 가좌마을대우2단지아파트)",031-922-7646,031-922-7646,3,0,0,N,,2019-04-23
초록별성저 어린이집,경기도,고양시일산서구,가정,20,5,경기도 고양시 일산서구 성저로42번길 4 1층,031-916-4298,031-916-4298,3,0,0,N,,2019-04-23
초록줄기어린이집,경기도,고양시일산서구,가정,15,4,"경기도 고양시 일산서구 주엽로 122 1609동 104호(주엽동, 문촌마을뉴삼익16단지아파트)",031-916-6696,031-916-6696,1,0,0,N,,2019-04-23
초콜릿어린이집,경기도,고양시일산동구,가정,20,5,"경기도 고양시 일산동구 은행마을로 62 206동 102호(식사동, 은행마을2단지아파트)",031-969-4868,,3,0,0,Y,,2019-04-23
친구친구어린이집,경기도,고양시일산서구,가정,20,7,"경기도 고양시 일산서구 호수로 710 1703동 101호(주엽동, 강선마을동성17단지아파트)",031-915-7956,,4,0,4,N,,2019-04-23
나무와새어린이집,경기도,고양시일산서구,민간,37,6,경기도 고양시 일산서구 강성로 270 성저마을 3단지 풍림아파트 단지내,031-915-5504,031-814-5504,4,0,6,N,,2019-04-23
KT일산어린이집,경기도,고양시일산서구,직장,49,5,경기도 고양시 일산서구 강성로 225 KT어린이집 (대화동),031-925-0052,031-925-0053,5,0,6,N,www.ktg-kids.com,2019-04-23
SBS일산어린이집,경기도,고양시일산서구,직장,49,8,"경기도 고양시 일산서구 일현로 111 (탄현동,SBS일산제작센터 아카데미동 1층)",031-917-5851,,4,0,0,N,,2019-04-23
YWCA어린이집,경기도,고양시일산서구,가정,14,4,"경기도 고양시 일산서구 주엽로 161 804동 104호(주엽동, 문촌마을동아8단지아파트)",031-912-0061,,3,0,0,N,,2019-04-23
가람어린이집,경기도,고양시덕양구,민간,121,17,경기도 고양시 덕양구 행신로279번길 46 (행신동),031-978-6114,,9,2,16,Y,,2019-04-23
가온누리어린이집,경기도,고양시덕양구,가정,20,5,"경기도 고양시 덕양구 화신로 106 2404동 102호(행신동, 햇빛마을24단지)",031-812-7500,,4,0,1,Y,http://cafe.daum.net/gaonnurii,2019-04-23
테디어린이집,경기도,고양시일산서구,가정,20,5,"경기도 고양시 일산서구 일현로 68 103동 105호(탄현동, 탄현마을경남1단지아파트)",031-912-9012,,5,0,0,Y,,2019-04-23
토리어린이집,경기도,고양시일산서구,가정,11,4,"경기도 고양시 일산서구 킨텍스로 300 1404동 101호(주엽동, 문촌마을세경14단지아파트)",031-816-1212,,1,0,0,N,,2019-04-23
토마토키즈어린이집,경기도,고양시덕양구,가정,19,5,"경기도 고양시 덕양구 호국로 860 207동 104호(성사동, 래미안휴레스트아파트)",070-8713-7281,050-4131-5473,4,0,0,N,http://cafe.naver.com/tomatokids104,2019-04-23
토토빌어린이집,경기도,고양시덕양구,가정,20,4,"경기도 고양시 덕양구 도래울로 85 212동101호(도내동,엘에이치원흥도래울마을2단지)",031-819-6380,,3,0,0,N,,2019-04-23
국립암센터어린이집,경기도,고양시일산동구,직장,49,7,경기도 고양시 일산동구 일산로 323 (마두동),031-920-1935,031-920-1936,4,1,2,N,,2019-04-23
국제어린이집,경기도,고양시일산서구,민간,58,8,경기도 고양시 일산서구 대산로 55 주엽동 강선마을 4단지 내,031-919-3007,031-918-3393,4,1,5,N,,2019-04-23
권율어린이집,경기도,고양시덕양구,직장,37,10,"경기도 고양시 덕양구 서오릉로500번길 141-7 (동산동,ROKA미르시티아파트 내 보육시설)",02-389-6088,02-389-6089,4,0,0,N,,2019-04-23
그리새영재어린이집,경기도,고양시덕양구,민간,60,8,경기도 고양시 덕양구 소만로 47 소만마을8단지아파트 단지내(행신동),031-970-7431,031-970-7431,5,1,8,Y,,2019-04-23
두산예보미어린이집,경기도,고양시일산동구,가정,20,5,"경기도 고양시 일산동구 고봉로 424 (중산동, 중산마을1단지 내)",031-977-8856,031-977-8856,1,0,0,N,,2019-04-23
두산파랑새어린이집,경기도,고양시일산동구,가정,20,6,"경기도 고양시 일산동구 강촌로 166 904동 102호(백석동, 백송마을두산9단지아파트)",031-901-7970,,3,0,4,N,http://www.cyworld.com/jo7970,2019-04-23
둥이어린이집,경기도,고양시덕양구,가정,13,5,"경기도 고양시 덕양구 화신로 284 804동 101호(화정동, 별빛마을부영8단지아파트)",031-811-0273,,3,0,0,N,,2019-04-23
